uuid,votes_correct,unanimous,majority_correct,confidence_mean,confidence_std,confidence_min,confidence_max
4f8aed94-9d63-4fce-a76c-b6c69cfc44b9,3,True,True,1.0,0.0,1.0,1.0
583ee1d5-6c4e-421c-b6fd-836eca4c0a41,0,True,False,0.9,0.0,0.9,0.9
586d5700-cb94-4884-b2a1-7db882469e3d,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
603ecc25-b0fa-4b4a-68ce-120018dc465e,0,True,False,0.9,0.0,0.9,0.9
eff42ccc-1b5f-4a43-ad3c-79ee2784cd23,3,True,True,1.0,0.0,1.0,1.0
fad5a057-4fbd-4f7f-7786-625a579b6171,3,True,True,1.0,0.0,1.0,1.0
075ab853-5b0d-481d-9762-b4b9e8063d35,3,True,True,0.9,0.0,0.9,0.9
43e8e7ac-cfd1-4b03-7437-e0450857ac12,3,True,True,1.0,0.0,1.0,1.0
13e3e039-f9f2-4faa-b12f-79a66a3f000f,3,True,True,1.0,0.0,1.0,1.0
514149a8-c476-4e43-ddff-7df14d1677f9,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
e1bbadc0-7d04-4e41-3838-654a2ce2330c,3,True,True,1.0,0.0,1.0,1.0
dfb9ebcf-5664-4b45-4b3a-d20fc67c87a8,3,True,True,1.0,0.0,1.0,1.0
cd543cc6-c0f2-486c-5009-07b9d9e562a5,3,True,True,1.0,0.0,1.0,1.0
44e7c003-ce22-469b-c707-5cc634feb700,3,True,True,1.0,0.0,1.0,1.0
167c049b-8395-4865-328a-d1cf40a91bf2,3,True,True,1.0,0.0,1.0,1.0
579ef936-0772-4f09-d510-646508656dcb,3,True,True,1.0,0.0,1.0,1.0
4d3b8f92-1d4c-49e3-5e69-12a92d64a01d,3,True,True,1.0,0.0,1.0,1.0
c0f86caf-1dd1-44c0-2e8d-2165a88e01d2,3,True,True,1.0,0.0,1.0,1.0
3b398c03-cf31-4ae1-7514-ee4658d70c7e,3,True,True,1.0,0.0,1.0,1.0
20c1af92-e643-41b1-5f0f-74ed7a453cad,0,True,False,0.9,0.0,0.9,0.9
61fedc2d-67eb-4370-e17d-ddac3c579f46,3,True,True,0.9,0.0,0.9,0.9
b9e179da-b5b2-47c5-c39c-d4efee280d85,3,True,True,1.0,0.0,1.0,1.0
4b86605e-338f-4f8e-97ae-8d1fa6528115,3,True,True,0.9766666666666666,0.020548046676563275,0.95,1.0
f4fa5c16-35ff-444e-9479-5de20d3f0128,3,True,True,1.0,0.0,1.0,1.0
83a0656b-1114-48a5-d2ae-f9cb0dd939fc,3,True,True,1.0,0.0,1.0,1.0
0e0673c0-2033-4ef7-0471-5f02c46cfa72,3,True,True,1.0,0.0,1.0,1.0
bcd4b257-28a4-4650-23b4-57eaf8bd2436,3,True,True,0.9,0.0,0.9,0.9
4c0ac3e8-94d6-414e-fc2d-f285ebb90518,1,False,False,0.9,0.0,0.9,0.9
8c2cfc80-5cfc-4137-d876-7f7a7efb48f8,3,True,True,1.0,0.0,1.0,1.0
446f8747-eedd-435d-f2f9-e6cb25dc3060,0,True,False,0.9,0.0,0.9,0.9
b0141635-f066-409e-06d0-e8df7c326107,0,True,False,0.9166666666666666,0.023570226039551553,0.9,0.95
79979d93-3cf5-4ad5-31d3-70b299067ec0,3,True,True,0.9,0.0,0.9,0.9
1a44365f-7bd2-4567-26d9-9d830dc1f288,3,True,True,0.9,0.0,0.9,0.9
3b276eaf-c63d-433f-01b5-ccc8d6dd5e8c,0,True,False,0.9,0.0,0.9,0.9
df7b45af-ac5c-4646-7268-a3ebe7d64d7a,0,True,False,0.9,0.0,0.9,0.9
3483b1a9-6478-460a-035a-d537b22703fe,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
9bc7915d-5d61-4461-16b3-95f3b7a686fb,3,True,True,0.9,0.0,0.9,0.9
8d3e1004-b571-48cf-c38d-000b18d1c40e,3,True,True,1.0,0.0,1.0,1.0
5f43b1bd-504c-46de-81ec-806d536133e5,3,True,True,1.0,0.0,1.0,1.0
cd9aaeb8-f8c8-4262-8758-03380b1d1293,3,True,True,1.0,0.0,1.0,1.0
724d7d7d-5bc8-4a5e-c52b-cc317fc4a2a1,3,True,True,1.0,0.0,1.0,1.0
bbc4a6dc-7233-4c64-c38b-9a645b551478,3,True,True,1.0,0.0,1.0,1.0
e3333d81-8573-4b41-d451-94995261c014,3,True,True,1.0,0.0,1.0,1.0
e9c82d5d-0bdb-4316-8653-7e518c097940,3,True,True,0.9,0.0,0.9,0.9
3202ffa4-41ee-48e6-88af-6a4ffa9cb008,0,True,False,0.9,0.0,0.9,0.9
